year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,went_to_extra_time,attendance,yellow_cards,red_cards,fouls,source_url,goals,substitutions,injuries_or_cooling
2022,Group G,2022-11-28,19:00,Stadium 974,Doha,Brazil,Switzerland,1,0,False,43649,2,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_G,1,,
2022,Group G,2022-12-02,22:00,Stadium 974,Doha,Serbia,Switzerland,2,3,False,41378,11,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_G,5,,"Highly heated match (11 yellows, most in the group stage); repeated Serbia-Switzerland confrontations rooted in Kosovo/Albania political tensions"
2022,Group G,2022-12-02,22:00,Lusail Stadium,Lusail,Cameroon,Brazil,1,0,False,85986,7,1,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_G,1,,"Cameroon's Vincent Aboubakar sent off (second yellow, 90+3') for removing his shirt while celebrating the winning goal"
2022,Group H,2022-11-24,16:00,Education City Stadium,Al Rayyan,Uruguay,South Korea,0,0,False,41663,3,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H,0,,
2022,Group H,2022-11-24,19:00,Stadium 974,Doha,Portugal,Ghana,3,2,False,42662,6,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H,5,,
2022,Group H,2022-11-28,16:00,Education City Stadium,Al Rayyan,South Korea,Ghana,2,3,False,43983,4,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H,5,,"South Korea manager Paulo Bento sent off (straight red, 90+12') after full time; not counted in red_cards as it was a coaching-staff dismissal, not a player"
2022,Group H,2022-11-28,22:00,Lusail Stadium,Lusail,Portugal,Uruguay,2,0,False,88668,5,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H,2,,
2022,Group H,2022-12-02,18:00,Al Janoub Stadium,Al Wakrah,Ghana,Uruguay,0,2,False,43443,7,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H,2,,Ill-tempered match; Uruguay's Luis Suarez a lightning rod given 2010 history with Ghana
2022,Group H,2022-12-02,18:00,Education City Stadium,Al Rayyan,South Korea,Portugal,2,1,False,44097,2,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H,3,,
2022,Round of 16,2022-12-03,18:00,Khalifa International Stadium,Al Rayyan,Netherlands,United States,3,1,False,44846,2,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,4,,
2022,Round of 16,2022-12-03,22:00,Ahmad bin Ali Stadium,Al Rayyan,Argentina,Australia,2,1,False,45032,2,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,3,,Messi's 1000th career appearance
2022,Round of 16,2022-12-04,18:00,Al Thumama Stadium,Doha,France,Poland,3,1,False,40989,3,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,4,,
2022,Round of 16,2022-12-04,22:00,Al Bayt Stadium,Al Khor,England,Senegal,3,0,False,65985,1,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,3,,
2022,Round of 16,2022-12-05,18:00,Al Janoub Stadium,Al Wakrah,Japan,Croatia,1,1,True,42523,2,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,2,,1-1 after extra time; Croatia won 3-1 on penalties (Livakovic saved 3)
2022,Round of 16,2022-12-05,22:00,Stadium 974,Doha,Brazil,South Korea,4,1,False,43847,1,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,5,,
2022,Round of 16,2022-12-06,18:00,Education City Stadium,Al Rayyan,Morocco,Spain,0,0,True,44667,2,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,0,,0-0 after extra time; Morocco won 3-0 on penalties
2022,Round of 16,2022-12-06,22:00,Lusail Stadium,Lusail,Portugal,Switzerland,6,1,False,83720,2,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,7,,Goncalo Ramos hat-trick starting ahead of Ronaldo
2022,Quarter-final,2022-12-09,18:00,Education City Stadium,Al Rayyan,Croatia,Brazil,1,1,True,43893,5,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,2,,"1-1 after extra time (Neymar 105+1', Petkovic 117'); Croatia won 4-2 on penalties"
2022,Quarter-final,2022-12-09,22:00,Lusail Stadium,Lusail,Netherlands,Argentina,2,2,True,88235,18,1,,https://en.wikipedia.org/wiki/Battle_of_Lusail,4,,'Battle of Lusail': referee Antonio Mateu Lahoz issued a FIFA-tournament-record 18 yellow cards (incl. 2 Argentina staff) plus 1 red; Denzel Dumfries sent off for a second yellow after the shootout. 2-2 after extra time; Argentina won 4-3 on penalties. Record for most yellows in a single World Cup match
2022,Quarter-final,2022-12-10,18:00,Al Thumama Stadium,Doha,Morocco,Portugal,1,0,False,44198,4,1,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,1,,"Morocco's Walid Cheddira sent off (second yellow, 90+3'); Morocco became the first African/Arab nation to reach a World Cup semi-final"
2022,Quarter-final,2022-12-10,22:00,Al Bayt Stadium,Al Khor,England,France,1,2,False,68895,4,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,3,,Harry Kane missed a second-half penalty for England
2022,Semi-final,2022-12-13,22:00,Lusail Stadium,Lusail,Argentina,Croatia,3,0,False,88966,4,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,3,,"Croatia assistant coach Mario Mandzukic sent off (straight red, 35'); not counted in red_cards as it was a coaching-staff dismissal, not a player"
2022,Semi-final,2022-12-14,22:00,Al Bayt Stadium,Al Khor,France,Morocco,2,0,False,68294,1,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,2,,
2022,Third place,2022-12-17,18:00,Khalifa International Stadium,Al Rayyan,Croatia,Morocco,2,1,False,44137,2,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage,3,,
2022,Final,2022-12-18,18:00,Lusail Stadium,Lusail,Argentina,France,3,3,True,88966,8,0,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_final,6,,"3-3 after extra time (Messi 2, Mbappe hat-trick); Argentina won 4-2 on penalties at Lusail Stadium. Argentina GK Emiliano Martinez cautioned during the shootout"
